id,name,email,role,password,department,phone,bio,joined_at
90b1b286-043f-4b76-92e4-23c74608f5ea,"Presentation Admin",presentation-admin@demo-school.invalid,admin,DemoOnly#Admin2026,"Academic Affairs",+1-555-001-0037,"Presentation-only administrator account.",2019-01-18
44154033-5719-4cb1-8f24-3f0f9acaf0b2,"Prof. Jordan Hayes",professor0001@demo-school.invalid,teacher,DemoOnly#Teacher2026,Mathematics,+1-555-001-7037,"Synthetic professor profile for presentation demos.",2023-08-15
0c04aefd-e3c2-4260-8d14-8fe3141e0244,"Prof. Taylor Owens",professor0002@demo-school.invalid,teacher,DemoOnly#Teacher2026,Physics,+1-555-002-7074,"Synthetic professor profile for presentation demos.",2023-09-01
06e5e44d-d984-4c9c-aea4-485f3ddc1650,"Prof. Morgan Bennett",professor0003@demo-school.invalid,teacher,DemoOnly#Teacher2026,Chemistry,+1-555-003-7111,"Synthetic professor profile for presentation demos.",2023-09-18
4d8e621f-9cf5-43b5-af64-13e8b303a72f,"Prof. Casey Ingram",professor0004@demo-school.invalid,teacher,DemoOnly#Teacher2026,Biology,+1-555-004-7148,"Synthetic professor profile for presentation demos.",2023-10-05
85c5949e-233a-45c7-a837-c5790ed146f5,"Prof. Avery Prescott",professor0005@demo-school.invalid,teacher,DemoOnly#Teacher2026,Economics,+1-555-005-7185,"Synthetic professor profile for presentation demos.",2023-10-22
bd2d223c-8e46-43be-9efa-e10a5bfa3eef,"Prof. Parker Campbell",professor0006@demo-school.invalid,teacher,DemoOnly#Teacher2026,Literature,+1-555-006-7222,"Synthetic professor profile for presentation demos.",2023-11-08
1cb05fe0-b865-4b18-a162-e6b61388f716,"Prof. Riley Jensen",professor0007@demo-school.invalid,teacher,DemoOnly#Teacher2026,History,+1-555-007-7259,"Synthetic professor profile for presentation demos.",2023-11-25
6610878f-ed49-4f72-bad9-de53a8c6d8c7,"Prof. Quinn Quincy",professor0008@demo-school.invalid,teacher,DemoOnly#Teacher2026,Business,+1-555-008-7296,"Synthetic professor profile for presentation demos.",2023-12-12
61c267c7-cbb9-40ee-bd32-1c091d59f8f6,"Prof. Skyler Dawson",professor0009@demo-school.invalid,teacher,DemoOnly#Teacher2026,Engineering,+1-555-009-7333,"Synthetic professor profile for presentation demos.",2023-12-29
dda049b3-4147-41ff-bbb8-a3cd336b07f4,"Prof. Cameron Keller",professor0010@demo-school.invalid,teacher,DemoOnly#Teacher2026,"Computer Science",+1-555-010-7370,"Synthetic professor profile for presentation demos.",2024-01-15
7fba43e4-d415-44be-8eee-2b06e0db3499,"Prof. Dakota Ramsey",professor0011@demo-school.invalid,teacher,DemoOnly#Teacher2026,Mathematics,+1-555-011-7407,"Synthetic professor profile for presentation demos.",2024-02-01
593babd2-2b43-4b9c-83e5-af65490a448e,"Prof. Emerson Ellis",professor0012@demo-school.invalid,teacher,DemoOnly#Teacher2026,Physics,+1-555-012-7444,"Synthetic professor profile for presentation demos.",2024-02-18
41e48eac-fde9-480a-bbd6-ff7c6b914434,"Prof. Finley Lawson",professor0013@demo-school.invalid,teacher,DemoOnly#Teacher2026,Chemistry,+1-555-013-7481,"Synthetic professor profile for presentation demos.",2024-03-06
1ee4a7c6-7108-4aad-90ad-7dff8413e6f7,"Prof. Harper Sawyer",professor0014@demo-school.invalid,teacher,DemoOnly#Teacher2026,Biology,+1-555-014-7518,"Synthetic professor profile for presentation demos.",2024-03-23
62d50f50-ffe8-4baf-8e30-77f6d2a2aaac,"Prof. Hayden Foster",professor0015@demo-school.invalid,teacher,DemoOnly#Teacher2026,Economics,+1-555-015-7555,"Synthetic professor profile for presentation demos.",2024-04-09
6a397c8a-08a4-44d2-870f-aafd5ce00cc0,"Prof. Jamie Murray",professor0016@demo-school.invalid,teacher,DemoOnly#Teacher2026,Literature,+1-555-016-7592,"Synthetic professor profile for presentation demos.",2024-04-26
218bedae-2734-4661-a5fd-9802f0ab85d9,"Prof. Kendall Turner",professor0017@demo-school.invalid,teacher,DemoOnly#Teacher2026,History,+1-555-017-7629,"Synthetic professor profile for presentation demos.",2024-05-13
470dec3e-8359-4c0c-be31-43f136f38980,"Prof. Logan Griffin",professor0018@demo-school.invalid,teacher,DemoOnly#Teacher2026,Business,+1-555-018-7666,"Synthetic professor profile for presentation demos.",2024-05-30
8ca8df9c-d395-4226-a267-17e37abb45b2,"Prof. Rowan Norris",professor0019@demo-school.invalid,teacher,DemoOnly#Teacher2026,Engineering,+1-555-019-7703,"Synthetic professor profile for presentation demos.",2024-06-16
